tradeday,account,nav
2018-01-04,XLIN01,6626.758
2018-01-05,XLIN01,6740.458
2018-01-08,XLIN01,6791.568
2018-01-09,XLIN01,7777.338
2018-01-10,XLIN01,7758.438
2018-01-11,XLIN01,7812.768
2018-01-12,XLIN01,7883.768
2018-01-15,XLIN01,7883.768
2018-01-16,XLIN01,7861.668
2018-01-17,XLIN01,7913.308
2018-01-18,XLIN01,7914.068
2018-01-19,XLIN01,8000.558
2018-01-22,XLIN01,8012.978
2018-01-23,XLIN01,7976.518
2018-01-24,XLIN01,7977.778
2018-01-25,XLIN01,8035.118
2018-01-26,XLIN01,8175.178
2018-01-29,XLIN01,8154.218
2018-01-30,XLIN01,8099.538
2018-01-31,XLIN01,8107.118
2018-02-01,XLIN01,8119.696
2018-02-02,XLIN01,7948.676
2018-02-05,XLIN01,7711.176
2018-02-06,XLIN01,7763.036
2018-02-07,XLIN01,7698.326
2018-02-08,XLIN01,7545.836
2018-02-09,XLIN01,7566.356
2018-02-12,XLIN01,7548.136
2018-02-13,XLIN01,7690.386
2018-02-14,XLIN01,7866.361
2018-02-15,XLIN01,7934.621
2018-02-16,XLIN01,7972.491
2018-02-19,XLIN01,7972.491
2018-02-20,XLIN01,7941.321
2018-02-21,XLIN01,12945.801
2018-02-22,XLIN01,12916.181
2018-02-23,XLIN01,13010.781
2018-02-26,XLIN01,13045.611
2018-02-27,XLIN01,12938.761
2018-02-28,XLIN01,12904.491
2018-03-01,XLIN01,12864.001
2018-03-02,XLIN01,12904.061
2018-03-05,XLIN01,13064.391
2018-03-06,XLIN01,13052.891
2018-03-07,XLIN01,13030.751
2018-03-08,XLIN01,12913.341
2018-03-09,XLIN01,14656.851
2018-03-12,XLIN01,14678.201
2018-03-13,XLIN01,14609.471
2018-03-14,XLIN01,14619.121
2018-03-15,XLIN01,14637.691
2018-03-16,XLIN01,14661.791
2018-03-19,XLIN01,14480.931
2018-03-20,XLIN01,11353.971
2018-03-21,XLIN01,11412.851
2018-03-22,XLIN01,11264.421
2018-03-23,XLIN01,11072.471
2018-03-26,XLIN01,11306.091
2018-03-27,XLIN01,11087.241
2018-03-28,XLIN01,11092.791
2018-03-29,XLIN01,11191.081
2018-03-30,XLIN01,11191.081
2018-04-02,XLIN01,10927.927
2018-04-03,XLIN01,11009.987
2018-04-04,XLIN01,11172.777
2018-04-05,XLIN01,11212.477
2018-04-06,XLIN01,11046.617
2018-04-09,XLIN01,11026.847
2018-04-10,XLIN01,11158.267
2018-04-11,XLIN01,11161.187
2018-04-12,XLIN01,11194.237
2018-04-13,XLIN01,11150.357
2018-04-16,XLIN01,11245.397
2018-04-17,XLIN01,11408.407
2018-04-18,XLIN01,11444.847
2018-04-19,XLIN01,11362.917
2018-04-20,XLIN01,11291.897
2018-04-23,XLIN01,11282.857
2018-04-24,XLIN01,11238.867
2018-04-25,XLIN01,11214.687
2018-04-26,XLIN01,11584.857
2018-04-27,XLIN01,11556.527
2018-04-30,XLIN01,11637.847
2018-05-01,XLIN01,11550.069
2018-05-02,XLIN01,11382.079
2018-05-03,XLIN01,11319.909
2018-05-04,XLIN01,11485.909
2018-05-07,XLIN01,11468.609
2018-05-08,XLIN01,11512.859
2018-05-09,XLIN01,11538.209
2018-05-10,XLIN01,11573.979
2018-05-11,XLIN01,11609.059
2018-05-14,XLIN01,11646.784
2018-05-15,XLIN01,11593.304
2018-05-16,XLIN01,11721.374
2018-05-17,XLIN01,11697.604
2018-05-18,XLIN01,11608.884
2018-05-21,XLIN01,11695.974
2018-05-22,XLIN01,11600.584
2018-05-23,XLIN01,11662.284
2018-05-24,XLIN01,11673.964
2018-05-25,XLIN01,11679.724
2018-05-28,XLIN01,11679.724
2018-05-29,XLIN01,11688.594
2018-05-30,XLIN01,11819.104
2018-05-31,XLIN01,11701.262
2018-06-01,XLIN01,11828.324
2018-06-04,XLIN01,12012.294
2018-06-05,XLIN01,12132.854
2018-06-06,XLIN01,12195.104
2018-06-07,XLIN01,12239.624
2018-06-08,XLIN01,12346.914
2018-06-11,XLIN01,12410.374
2018-06-12,XLIN01,12555.154
2018-06-13,XLIN01,12537.484
2018-06-14,XLIN01,12662.804
2018-06-15,XLIN01,12627.724
2018-06-18,XLIN01,12665.804
2018-06-19,XLIN01,12604.094
2018-06-20,XLIN01,12650.794
2018-06-21,XLIN01,12827.694
2018-06-22,XLIN01,12993.604
2018-06-25,XLIN01,12743.014
2018-06-26,XLIN01,12775.904
2018-06-27,XLIN01,12614.874
2018-06-28,XLIN01,12542.834
